Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780590090063,22150.445999145508,4700,1,0.30000000000000004,6661.546157836914,4700,1,0.30000000000000004,6533.442199707031,4700,1,0.30000000000000004,64042.82719421387,4700,1,0.30000000000000004,25804.118774414063,4700,1,0.30000000000000004,19199.37579345703,4700,1,0.30000000000000004,26873.69367980957,4700,1,0.30000000000000004,52441.20307922363,4700,1,0.30000000000000004,6956.896820068359,4700,1,0.30000000000000004,6865.419937133789,4700,1,0.30000000000000004,6492.48876953125,4700,1,0.30000000000000004,6697.288436889648,4700,1,0.30000000000000004,1219.3885498046875,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,2.941176414489746,2.941176414489746,2.941176414489746,0,3.0303030014038086,8.571429252624512,0,2.941176414489746,8.823529243469238,6.060606002807617,0,0,0,0,0,2.941176414489746,0,2.941176414489746,0,0,5.555555820465088,0,5.714285850524902,3.0303030014038086,66481098752,12884893696,1493233664,0
99,1780590090063,22150.446090698242,4700,1,0.30000000000000004,6661.546249389648,4700,1,0.30000000000000004,6533.44303894043,4700,1,0.30000000000000004,64042.831604003906,4700,1,0.30000000000000004,25804.118850708008,4700,1,0.30000000000000004,19199.375869750977,4700,1,0.30000000000000004,26873.693756103516,4700,1,0.30000000000000004,52441.20315551758,4700,1,0.30000000000000004,6956.896881103516,4700,1,0.30000000000000004,6865.419998168945,4700,1,0.30000000000000004,6492.488845825195,4700,1,0.30000000000000004,6697.298126220703,4700,1,0.30000000000000004,1219.4756164550781,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,2.941176414489746,2.941176414489746,2.941176414489746,0,3.0303030014038086,8.571429252624512,0,2.941176414489746,8.823529243469238,6.060606002807617,0,0,0,0,0,2.941176414489746,0,2.941176414489746,0,0,5.555555820465088,0,5.714285850524902,3.0303030014038086,66481098752,12884893696,1493233664,0
99,1780590090163,22150.526885986328,4700,1,0.30000000000000004,6661.7864990234375,4700,1,0.30000000000000004,6533.621292114258,4700,1,0.30000000000000004,64042.935958862305,4700,1,0.30000000000000004,25804.20362854004,4700,1,0.30000000000000004,19199.46910095215,4700,1,0.30000000000000004,26873.77687072754,4700,1,0.30000000000000004,52441.29084777832,4700,1,0.30000000000000004,6957.057846069336,4700,1,0.30000000000000004,6865.598907470703,4700,1,0.30000000000000004,6492.637802124023,4700,1,0.30000000000000004,6697.487503051758,4700,1,0.30000000000000004,1223.8860473632813,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,2.941176414489746,2.941176414489746,2.941176414489746,0,3.0303030014038086,8.571429252624512,0,2.941176414489746,8.823529243469238,6.060606002807617,0,0,0,0,0,2.941176414489746,0,2.941176414489746,0,0,5.555555820465088,0,5.714285850524902,3.0303030014038086,66481098752,12884893696,1540284416,0
99,1780590090263,22150.64826965332,4700,1,0.30000000000000004,6661.847854614258,4700,1,0.30000000000000004,6533.6820068359375,4700,1,0.30000000000000004,64042.986587524414,4700,1,0.30000000000000004,25804.317474365234,4700,1,0.30000000000000004,19199.528442382813,4700,1,0.30000000000000004,26873.92185974121,4700,1,0.30000000000000004,52441.33525085449,4700,1,0.30000000000000004,6957.176651000977,4700,1,0.30000000000000004,6865.675994873047,4700,1,0.30000000000000004,6492.699310302734,4700,1,0.30000000000000004,6697.55615234375,4700,1,0.30000000000000004,1227.6786193847656,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,10,0,10,0,0,0,5,4.761904716491699,4.761904716491699,0,9.523809432983398,4.761904716491699,0,0,0,0,5,0,10,4.761904716491699,0,5,0,9.523809432983398,66481098752,12884893696,1570033664,0
99,1780590090363,22151.107131958008,4700,1,0.30000000000000004,6661.878021240234,4700,1,0.30000000000000004,6533.760330200195,4700,1,0.30000000000000004,64043.011474609375,4700,1,0.30000000000000004,25804.346923828125,4700,1,0.30000000000000004,19199.56007385254,4700,1,0.30000000000000004,26873.962493896484,4700,1,0.30000000000000004,52441.409759521484,4700,1,0.30000000000000004,6957.241989135742,4700,1,0.30000000000000004,6865.731140136719,4700,1,0.30000000000000004,6492.815216064453,4700,1,0.30000000000000004,6697.622833251953,4700,1,0.30000000000000004,1231.6796264648438,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,10,0,10,0,0,0,5,4.761904716491699,4.761904716491699,0,9.523809432983398,4.761904716491699,0,0,0,0,5,0,10,4.761904716491699,0,5,0,9.523809432983398,66481098752,12884893696,1605062656,0
100,1780590090463,22151.26123046875,4700,1,0.30000000000000004,6661.881637573242,4700,1,0.30000000000000004,6533.785797119141,4700,1,0.30000000000000004,64043.016204833984,4700,1,0.30000000000000004,25804.351638793945,4700,1,0.30000000000000004,19199.564651489258,4700,1,0.30000000000000004,26873.979263305664,4700,1,0.30000000000000004,52441.428787231445,4700,1,0.30000000000000004,6957.2510986328125,4700,1,0.30000000000000004,6865.748199462891,4700,1,0.30000000000000004,6492.844467163086,4700,1,0.30000000000000004,6697.637893676758,4700,1,0.30000000000000004,1234.6173706054688,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,5,5,0,66481098752,12884893696,1616220160,0
100,1780590090564,22151.265380859375,4700,1,0.30000000000000004,6661.884735107422,4700,1,0.30000000000000004,6533.795547485352,4700,1,0.30000000000000004,64043.01986694336,4700,1,0.30000000000000004,25804.35514831543,4700,1,0.30000000000000004,19199.568603515625,4700,1,0.30000000000000004,26873.9825592041,4700,1,0.30000000000000004,52441.433517456055,4700,1,0.30000000000000004,6957.254241943359,4700,1,0.30000000000000004,6865.7554931640625,4700,1,0.30000000000000004,6492.847366333008,4700,1,0.30000000000000004,6697.653732299805,4700,1,0.30000000000000004,1237.7509307861328,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,5,5,0,66481098752,12884893696,1615568896,0
99,1780590090664,22151.26902770996,4700,1,0.30000000000000004,6661.887802124023,4700,1,0.30000000000000004,6533.798583984375,4700,1,0.30000000000000004,64043.02297973633,4700,1,0.30000000000000004,25804.3582611084,4700,1,0.30000000000000004,19199.572525024414,4700,1,0.30000000000000004,26873.98570251465,4700,1,0.30000000000000004,52441.4366607666,4700,1,0.30000000000000004,6957.257354736328,4700,1,0.30000000000000004,6865.75862121582,4700,1,0.30000000000000004,6492.850082397461,4700,1,0.30000000000000004,6697.673522949219,4700,1,0.30000000000000004,1240.1222839355469,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481098752,12884893696,1615568896,0
100,1780590090764,22151.272521972656,4700,1,0.29374999999999996,6661.890884399414,4700,1,0.30000000000000004,6533.801559448242,4700,1,0.30000000000000004,64043.025131225586,4700,1,0.29374999999999996,25804.361389160156,4700,1,0.29374999999999996,19199.575897216797,4700,1,0.29374999999999996,26873.989959716797,4700,1,0.29374999999999996,52441.43975830078,4700,1,0.29374999999999996,6957.261642456055,4700,1,0.29374999999999996,6865.761489868164,4700,1,0.29374999999999996,6492.852340698242,4700,1,0.29374999999999996,6697.684280395508,4700,1,0.29374999999999996,1242.6966552734375,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481098752,12884893696,1616527360,0
100,1780590090865,22151.277099609375,4700,1,0.29374999999999996,6661.894424438477,4700,1,0.30000000000000004,6533.806213378906,4700,1,0.30000000000000004,64043.029235839844,4700,1,0.29374999999999996,25804.364685058594,4700,1,0.29374999999999996,19199.579040527344,4700,1,0.29374999999999996,26873.99383544922,4700,1,0.29374999999999996,52441.44464111328,4700,1,0.30000000000000004,6957.270278930664,4700,1,0.30000000000000004,6865.764694213867,4700,1,0.30000000000000004,6492.854339599609,4700,1,0.30000000000000004,6697.69563293457,4700,1,0.30000000000000004,1245.2298126220703,3007,3007,3007,4690,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,4690,4690,3007,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,66481098752,12884893696,1616527360,0
