Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1780508203772,27567.56657409668,4700,1,0.30000000000000004,4477.126678466797,4700,1,0.30000000000000004,4380.27262878418,4700,1,0.30000000000000004,39146.54698181152,4700,1,0.30000000000000004,56073.55197143555,4700,1,0.30000000000000004,52023.45950317383,4700,1,0.30000000000000004,56761.147857666016,4700,1,0.30000000000000004,46991.575271606445,4700,1,0.30000000000000004,4621.513336181641,4700,1,0.30000000000000004,4594.763198852539,4700,1,0.30000000000000004,4343.938888549805,4700,1,0.30000000000000004,4479.210662841797,4700,1,0.30000000000000004,34390.89024353027,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,2.777777910232544,0,2.702702760696411,0,2.702702760696411,2.702702760696411,2.777777910232544,2.702702760696411,2.702702760696411,0,0,5.405405521392822,0,0,2.777777910232544,5.555555820465088,2.777777910232544,2.702702760696411,0,0,5.555555820465088,0,2.702702760696411,2.702702760696411,66481098752,12884893696,1465782272,0
99,1780508203772,27567.56672668457,4700,1,0.30000000000000004,4477.126739501953,4700,1,0.30000000000000004,4380.272674560547,4700,1,0.30000000000000004,39146.55744934082,4700,1,0.30000000000000004,56073.55204772949,4700,1,0.30000000000000004,52023.45957946777,4700,1,0.30000000000000004,56761.14793395996,4700,1,0.30000000000000004,46991.57534790039,4700,1,0.30000000000000004,4621.513397216797,4700,1,0.30000000000000004,4594.763244628906,4700,1,0.30000000000000004,4343.945236206055,4700,1,0.30000000000000004,4479.210723876953,4700,1,0.30000000000000004,34390.93437194824,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,2.777777910232544,0,2.702702760696411,0,2.702702760696411,2.702702760696411,2.777777910232544,2.702702760696411,2.702702760696411,0,0,5.405405521392822,0,0,2.777777910232544,5.555555820465088,2.777777910232544,2.702702760696411,0,0,5.555555820465088,0,2.702702760696411,2.702702760696411,66481098752,12884893696,1465782272,0
99,1780508203872,27567.69369506836,4700,1,0.30000000000000004,4477.273956298828,4700,1,0.30000000000000004,4380.41064453125,4700,1,0.30000000000000004,39146.68965148926,4700,1,0.30000000000000004,56073.771087646484,4700,1,0.30000000000000004,52023.57727050781,4700,1,0.30000000000000004,56761.31901550293,4700,1,0.30000000000000004,46991.71258544922,4700,1,0.30000000000000004,4621.666366577148,4700,1,0.30000000000000004,4594.900314331055,4700,1,0.30000000000000004,4344.097030639648,4700,1,0.30000000000000004,4479.330017089844,4700,1,0.30000000000000004,34395.34143066406,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,2.777777910232544,0,2.702702760696411,0,2.702702760696411,2.702702760696411,2.777777910232544,2.702702760696411,2.702702760696411,0,0,5.405405521392822,0,0,2.777777910232544,5.555555820465088,2.777777910232544,2.702702760696411,0,0,5.555555820465088,0,2.702702760696411,2.702702760696411,66481098752,12884893696,1525747712,0
99,1780508203972,27567.869232177734,4700,1,0.30000000000000004,4477.385757446289,4700,1,0.30000000000000004,4380.486022949219,4700,1,0.30000000000000004,39146.76670837402,4700,1,0.30000000000000004,56073.85028076172,4700,1,0.30000000000000004,52023.69792175293,4700,1,0.30000000000000004,56761.399963378906,4700,1,0.30000000000000004,46991.82763671875,4700,1,0.30000000000000004,4621.745132446289,4700,1,0.30000000000000004,4594.997344970703,4700,1,0.30000000000000004,4344.183090209961,4700,1,0.30000000000000004,4479.408554077148,4700,1,0.30000000000000004,34399.246505737305,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,5,0,9.523809432983398,5,9.523809432983398,0,9.523809432983398,0,5,5,0,5,5.263157844543457,13.636363983154297,4.761904716491699,5.263157844543457,0,0,5,0,4.761904716491699,0,0,0,66481098752,12884893696,1556709376,0
99,1780508204073,27568.323471069336,4700,1,0.29374999999999996,4477.429672241211,4700,1,0.30000000000000004,4380.5419921875,4700,1,0.30000000000000004,39146.83268737793,4700,1,0.29374999999999996,56073.89094543457,4700,1,0.29374999999999996,52023.71235656738,4700,1,0.29374999999999996,56761.48709106445,4700,1,0.29374999999999996,46991.86407470703,4700,1,0.29374999999999996,4621.797821044922,4700,1,0.29374999999999996,4595.03678894043,4700,1,0.29374999999999996,4344.247970581055,4700,1,0.29374999999999996,4479.451354980469,4700,1,0.29374999999999996,34403.148361206055,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,5,0,9.523809432983398,5,9.523809432983398,0,9.523809432983398,0,5,5,0,5,5.263157844543457,13.636363983154297,4.761904716491699,5.263157844543457,0,0,5,0,4.761904716491699,0,0,0,66481098752,12884893696,1602617344,0
99,1780508204173,27568.3292388916,4700,1,0.29374999999999996,4477.432952880859,4700,1,0.30000000000000004,4380.545303344727,4700,1,0.30000000000000004,39146.85258483887,4700,1,0.29374999999999996,56073.894775390625,4700,1,0.29374999999999996,52023.715759277344,4700,1,0.29374999999999996,56761.49319458008,4700,1,0.29374999999999996,46991.86717224121,4700,1,0.29374999999999996,4621.810958862305,4700,1,0.30000000000000004,4595.049591064453,4700,1,0.30000000000000004,4344.250152587891,4700,1,0.30000000000000004,4479.464935302734,4700,1,0.30000000000000004,34405.54493713379,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,30.000001907348633,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,66481098752,12884893696,1595457536,0
100,1780508204273,27568.33238220215,4700,1,0.29374999999999996,4477.434524536133,4700,1,0.30000000000000004,4380.546875,4700,1,0.30000000000000004,39146.86470031738,4700,1,0.29374999999999996,56073.898040771484,4700,1,0.29374999999999996,52023.71969604492,4700,1,0.29374999999999996,56761.4963684082,4700,1,0.29374999999999996,46991.87026977539,4700,1,0.30000000000000004,4621.812606811523,4700,1,0.30000000000000004,4595.060821533203,4700,1,0.30000000000000004,4344.252258300781,4700,1,0.30000000000000004,4479.466552734375,4700,1,0.30000000000000004,34408.10874938965,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,30.000001907348633,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,66481098752,12884893696,1595457536,0
100,1780508204373,27568.335723876953,4700,1,0.30000000000000004,4477.436096191406,4700,1,0.30000000000000004,4380.548446655273,4700,1,0.30000000000000004,39146.87796020508,4700,1,0.30000000000000004,56073.919692993164,4700,1,0.30000000000000004,52023.7227935791,4700,1,0.30000000000000004,56761.49946594238,4700,1,0.30000000000000004,46991.87336730957,4700,1,0.30000000000000004,4621.833267211914,4700,1,0.30000000000000004,4595.062698364258,4700,1,0.30000000000000004,4344.253982543945,4700,1,0.30000000000000004,4479.468124389648,4700,1,0.30000000000000004,34410.43374633789,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481098752,12884893696,1595457536,0
100,1780508204474,27568.338989257813,4700,1,0.30000000000000004,4477.43766784668,4700,1,0.30000000000000004,4380.550018310547,4700,1,0.30000000000000004,39146.88539123535,4700,1,0.30000000000000004,56073.922790527344,4700,1,0.30000000000000004,52023.72590637207,4700,1,0.30000000000000004,56761.50256347656,4700,1,0.30000000000000004,46991.88554382324,4700,1,0.30000000000000004,4621.834945678711,4700,1,0.30000000000000004,4595.067321777344,4700,1,0.30000000000000004,4344.255859375,4700,1,0.30000000000000004,4479.469696044922,4700,1,0.30000000000000004,34412.70324707031,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481098752,12884893696,1595457536,0
99,1780508204574,27568.342971801758,4700,1,0.29374999999999996,4477.439315795898,4700,1,0.29374999999999996,4380.553771972656,4700,1,0.29374999999999996,39146.888931274414,4700,1,0.29374999999999996,56073.93486022949,4700,1,0.29374999999999996,52023.729232788086,4700,1,0.29374999999999996,56761.50566101074,4700,1,0.29374999999999996,46991.88912963867,4700,1,0.29374999999999996,4621.837936401367,4700,1,0.29374999999999996,4595.0689697265625,4700,1,0.29374999999999996,4344.257568359375,4700,1,0.29374999999999996,4479.47151184082,4700,1,0.29374999999999996,34415.431060791016,3007,3007,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,3007,3007,3007,3007,4690,3007,4690,3007,3007,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,66481098752,12884893696,1595457536,0
